"Barcodes","BookName","Authors","Supporter","Publisher","Year","ISBN","ClassNum","Tags"
"B007","逃/我們的寶島，他們的牢","逃跑外勞","鄭武燦","時報文化","2012年","978-957-13-5555-9",,"外籍勞工,報導文學"
"B008","世界上最古老的生物","薩斯曼 (Sussman, Rachel)",,"遠流","2016年","978-957-32-7849-8",,"生物,植物"
"B009","臺灣生態社區的故事","何貞青，鄭一青，林琮盛",,"南投縣埔里鎮 : 新故鄉文教基金會","94年","957-30094-5-5",,"社區營造,臺灣,社區發展"
"B010","泰雅傳統竹屋","林為道(Baunay.Watan)",,"苗栗縣大湖鄉 : 內政部營建署雪霸國家公園管理處","92年","957-01-5667-8",,"泰雅族,社會生活與風俗,房屋,建築"
"B011","織起一座彩虹祖靈橋","尤馬.達陸",,"苗栗縣大湖鄉 : 內政部營建署雪霸國家公園管理處","92年","957-01-5595-7",,"泰雅族,文化,織染工藝美術"
"B012","猴蔗花開","阿默",,"南投縣文化局出版","2012年","978-986-033-045-8",,
"B013","與孩子分享自然","約瑟夫.柯內爾(Joseph Cornell)",,"張老師","1994年二版","957-693-633-0",,
"B014","共享自然的喜悅","約瑟夫.柯內爾(Joseph Cornell)",,"張老師","1994年二版","957-693-644-6",,
"B015","傾聽自然","約瑟夫.柯內爾(Joseph Cornell)",,"張老師","1994年二版","978-957-693-676-0",,"Nature conservation,Popular works."
"C001;C002","夢想南極 : 荒冰野地的魅力","陳維滄","吳明書","山岳文化出版","2004年","957-28181-9-8",,
"C003;C004","雪山綠緣-雪山地區植物選介","歐辰雄、呂金誠",,"苗栗縣大湖鄉:雪霸國家公園","2002年二版","957-02-6457-8",,"植物,臺灣"
"C005;C006;C007","展讀大坑天書","陳玉峰",,"臺灣生態研究中心","2005年","957-8614-20-9","無",
"C008;C009","草山新心情","吳明勳, 白明寶編輯設計",,"陽明山國家公園管理處",,"--",,"國家公園,臺灣"
"C010;C011;C012","明日的餐桌 : 世界正在吃什麼?面對食安危機,我們需要美味的倫理與食物的正義 = A revolution at your table","余宛如",,"果力文化出版","2014年","978-986-89294-9-4",,"食品衛生,健康飲食"
"C013;C014;C015;C016","台灣蝴蝶-食草與蜜源植物大圖鑑","林春吉",,"天下遠見出版","2008年","978-986-216-112-8",,"蝴蝶,植物圖鑑,臺灣"
"C017","車諾比的悲鳴","亞歷塞維奇 (Aleksievich, Svetlana)",,"泰電電業出版","2011年","978-986-6076-22-0",,"核子事故,訪談,俄國"
"D001","餐桌上的家鄉","社團法人中華民國南洋台灣姐妹會",,"時報文化出版企業股份有限公司","2017年","978-957-13-6810-8",,
"D002","自己的台灣自己救","台灣人權文化協會",,"費邊社文創出版","2015年","978-986-91218-1-1",,"臺灣關係法,臺美關係,文集"
"D003","透光的暗暝 : 臺中政治受難者暨相關人士口訪紀錄","陳彥斌",,"臺中市政府文化局出版","106年","978-986-05-4082-6",,"白色恐怖,政治迫害,台灣傳記,口述歷史"
"D004","蘇建和案21年生死簿:蘇友辰律師口述史","蘇友辰",,"前衛","2013年","978-957-801-721-4",,"司法制度,審判"
"D005","十萬島文識臺灣","台灣人權文化協會",,"台灣人權文化協會","2017年","978-986-95912-0-1",,"人權,多元文化,文集,臺灣"
"D006","阿里山俱樂部","陳月霞",,"玉山社","2010年","978-986-6789-74-8",,"人文地理,通俗作品,阿里山"
"D007","阿里山物語(上)","陳月霞",,"前衛","2015年",,,"林業,歷史,嘉義縣阿里山鄉"
"D008","阿里山物語(下)","陳月霞",,"前衛","2015年","978-957-801-767-2",,"林業,歷史,嘉義縣阿里山鄉"
"D009","我生命中的花草樹木","阿默",,"張老師","2011年","978-957-693-771-2",,"植物,通俗性讀物"
"D010","捍衛正義 : 烏山頭水庫保衛戰","朱淑娟",,"巨流","2014年","978-957-732-488-7",,"環境保護,水庫,個案研究"
"D011","玉峯觀止-台灣自然、宗教與教育之我見","陳玉峯",,"前衛出版","2012年","978-957-801-691-0",,"言論集"
"D012","21世紀台灣主流的土石亂流","陳玉峯、張豐年",,"前衛出版","2002年","957-801-345-0",,"土石流,環境保護,文集"
"D014","敏督利注","陳玉峯",,"淨心文教基金會","94年","957-30401-7-4",,"自然保育,環境保護"
"D015","綠島金夢","陳玉峯",,"前衛出版","2015年","978-957-801-771-9",,"文化,歷史,訪談,台東縣綠島鄉"
"D016","珍愛地球家園-氣候變遷的危機與轉機","張力揚",,"雅歌出版","2010年","978-986-6927-14-0",,"全球氣候變遷,地球暖化,氣候災害,環境保護,文集"
"D017","山災地變人造孽-21世紀台灣主流的土石亂流","陳玉峯等",,"前衛出版","2012年","978-957-801-693-4",,"土石流,環境保護,文集"
