"Barcodes","BookName","Authors","Supporter","Publisher","Year","ISBN","ClassNum","Tags"
"A001;A002","森林大滅絕","戴立克.簡申(Derrick Jensen), 喬治.德芮芬(George Draffan)",,"新自然主義出版",2005,9789869611732,436.12,"森林生態學,森林保護"
"A003;A004","中國文化大學校園植物解說手冊","林志欽、卓子右、姚明堯、劉晉榮、郭信利、蘇伯瀚、謝億文、朱珉寬","蘇夢淮","中國文化大學森林暨自然保育學系","2004年",9789866710339,"375.233/101","植物,植物生態學,解說,臺北市"
"A005;A006","臺中學國際研討會論文集-融和 連結 共好","東海大學產學與育成中心",,"臺中市政府研究發展考核委員會","2018年",,,
"A007;A008","花現芳蹤 陽明山賞花手冊","陽明山國家公園",,"陽明山國家公園管理處",2017,"978-986-05-4920-1",435.4,"花卉,賞花,陽明山國家公園"
"A009;A010","天空的眼睛","夏曼藍波安","蔡智豪、賀安玉","聯經出版","2014年","978-957-08-4027-8",,
"A011","學做自然的孩子-國家公園之父謬爾如何觀察自然","柯內爾 (Cornell, Joseph Bharat)",,"張老師文化","2000年","957-693-45",,"自然史,通俗作品,自然保育"
"A012","女農討山誌-一個女子與土地的深情記事","阿寶",,"張老師","2004年","978-957-693-578-7",,
"A013","我的水中夥伴-生物學家談台灣溪流魚類和環境故事","方力行","蔡智豪","遠足文化","2015年","978-986-5842-64-2",,"魚類,淡水生物,臺灣"
"A014","2045日本曙光再現-暖化大預言","加藤欣介",,"泰電電業出版","2011年","978-986-6076-17-6",,
"A015","生命之源-能量、演化與複雜生命的起源","尼克‧連恩(Nick Lane)","蔡智豪","貓頭鷹出版","2016年","978-986-262-310-7",,"生命論,演化論"
"A016","舂辣椒的滋味 : 清境義民人群之認同內涵與變遷","吳秀雀","山里好巷書店","開學文化出版","2015年","978-986-91323-5-0",,"文化人類學,族群認同,田野工作,南投縣仁愛鄉"
"A017","美濃客家民俗植物誌(1)","宋長青","宋長青","高雄市美濃愛鄉協進會","2013年","978-986-88367-0-9",,"植物志,客家,高雄市美濃區"
"B001","臺灣素人 : 宗教、精神、價值與人格","陳玉峯",,"前衛出版","2012年","978-957-801-696-5",,"宗教,精神,價值與人格"
"B002","當新教宗遇見聖方濟","張力揚",,"雅歌出版","2014年","978-986-6927-28-7",,"天主教,靈修,基督徒"
"B003","台灣必須廢核的10個理由","劉黎兒",,"先覺出版","2011年","978-986-134-181-1",,"核能發電,核子事故"
"B004","我們經不起一次核災","劉黎兒",,"先覺出版","2011年","978-986-134-178-1",,"核子事故,核能汙染,核能發電"
"B005","廢核-給孩子安心的未來","劉黎兒",,"今周刊出版","2013年","978-986-89384-5-8",,"核能發電,核子事故"
"B006","核電是騙人的","小出裕章",,"推守文化創意出版","2012年","978-986-6570-77-3",,"核能發電,核能汙染,輻射防護"
