"ID","Amount","BookName","Authors","Supporter","Publisher","Year","ISBN","ClassificationNumber","Tags"
,2,"森林大滅絕","戴立克.簡申(Derrick Jensen), 喬治.德芮芬(George Draffan)",,"新自然主義出版",2005,9789869611732,436.12,"森林生態學,森林保護"
,2,"中國文化大學校園植物解說手冊","林志欽、卓子右、姚明堯、劉晉榮、郭信利、蘇伯瀚、謝億文、朱珉寬","蘇夢淮","中國文化大學森林暨自然保育學系","2004年","9789866710339","375.233/101","植物,植物生態學,解說,臺北市"
,2,"臺中學國際研討會論文集-融和 連結 共好","東海大學產學與育成中心",,"臺中市政府研究發展考核委員會","2018年",,,
,2,"花現芳蹤 陽明山賞花手冊","陽明山國家公園",,"陽明山國家公園管理處",2017,"978-986-05-4920-1",435.4,"花卉,賞花,陽明山國家公園"
,2,"天空的眼睛","夏曼藍波安","蔡智豪、賀安玉","聯經出版","2014年","978-957-08-4027-8",,
,2,"夢想南極 : 荒冰野地的魅力","陳維滄","吳明書","山岳文化出版","2004年","957-28181-9-8",,
,2,"雪山綠緣-雪山地區植物選介","歐辰雄、呂金誠",,"苗栗縣大湖鄉:雪霸國家公園","2002年二版","957-02-6457-8",,"植物,臺灣"
,2,"草山新心情","吳明勳, 白明寶編輯設計",,"陽明山國家公園管理處",,"--",,"國家公園,臺灣"
,3,"展讀大坑天書","陳玉峰",,"臺灣生態研究中心","2005年","957-8614-20-9","無",
,3,"明日的餐桌 : 世界正在吃什麼?面對食安危機,我們需要美味的倫理與食物的正義 = A revolution at your table","余宛如",,"果力文化出版","2014年","978-986-89294-9-4",,"食品衛生,健康飲食"
,4,"台灣蝴蝶-食草與蜜源植物大圖鑑","林春吉",,"天下遠見出版","2008年","978-986-216-112-8",,"蝴蝶,植物圖鑑,臺灣"
,,"臺灣素人 : 宗教、精神、價值與人格","陳玉峯",,"前衛出版","2012年","978-957-801-696-5",,"宗教,精神,價值與人格"
,,"當新教宗遇見聖方濟","張力揚",,"雅歌出版","2014年","978-986-6927-28-7",,"天主教,靈修,基督徒"
